"","serialNumber","ownerGroup","ownerPi","model","frequency","tagCodeSpace","idCode","estimatedLifetime","durationStep1","powerStep1","acceleration_on_sec_step1","minDelayStep1","maxDelayStep1","durationStep2","powerStep2","acceleration_on_sec_step2","minDelayStep2","maxDelayStep2","durationStep3","powerStep3","acceleration_on_sec_step3","minDelayStep3","maxDelayStep3","durationStep4","powerStep4","acceleration_on_sec_step4","minDelayStep4","maxDelayStep4","sensorType","range","units","slope","intercept","accelerometer_algoritm","accelerometer_samples_per_sec","sensor_transmit_ratio","manufacturer","acousticTagType","type","thelmaConvertedCode"
"1",1294145,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3946","3946",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"2",1294145,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3947","3947",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"3",1294146,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3948","3948",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"4",1294146,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3949","3949",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"5",1294147,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3950","3950",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"6",1294147,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3951","3951",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"7",1294148,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3952","3952",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"8",1294148,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3953","3953",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"9",1294149,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3954","3954",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"10",1294149,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3955","3955",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
